Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger
BNGO	"[""BNGO""]"	nGNX2fZ2l2	2026-05-05 08:00:04	Bionano Announces a 56% Increase in Publications Describing the Utility of OGM in Rare Diseases in Q1 2026 vs Q1 2025	Globe Newswire	10.4	0.615	0.0172	0.3678	0.5978	positive		NO:Trades/sec
FLNA	"[""FLNA""]"	nGNX4xCMWh	2026-05-05 08:00:04	Filana Therapeutics Presents TSC-Related Epilepsy Program at Eilat XVIII	Globe Newswire	45.25	0.1919	0.0238	0.7844	0.1681	positive		NO:Trades/sec
XRPN	"[""XRPN""]"	nPn9dX2Mza	2026-05-05 08:00:12	Evernorth Announces Appointment of New Board Members and Senior Executives Ahead of Anticipated Public Listing	PR Newswire	17.74	0.042	0.0358	0.9222	0.0062	neutral		NO:sentiment_score,Trades/sec
ULCC	"[""ULCC""]"	nPn3s9TXBa	2026-05-05 08:00:05	Frontier Airlines Reports First Quarter 2026 Financial Results	PR Newswire	85.92	0.0903	0.1262	0.7835	-0.0359	neutral		NO:sentiment_score,Trades/sec
METC	"[""METC""]"	nPn3TKTh6a	2026-05-05 08:00:13	Ramaco Resources, Inc. to Release First Quarter 2026 Financial Results on Monday, May 11, 2026 and Host Conference Call and Webcast on Tuesday, May 12, 2026	PR Newswire	47.19	0.0535	0.0305	0.916	0.0231	neutral		NO:sentiment_score,Trades/sec
NINE	"[""NINE""]"	nNFC35Mgv3	2026-05-05 08:00:28	Nine Mile Metals Announces a Summary of the Fall 2025 Drill Program at the Wedge Mine and Announces a 10,000m Spring Drill Program	Newsfile Corp	42.88	0.065	0.0294	0.9056	0.0356	neutral		NO:sentiment_score,Trades/sec
VTIX	"[""VTIX""]"	nGNXc4t6Nd	2026-05-05 08:17:00	Virtuix to Lead Infantry Training Project for U.S. Marine Corps	Globe Newswire	14.68	0.2374	0.0219	0.7408	0.2155	positive	0.08695652173913043	YES
GWH	"[""GWH""]"	nBw2nzKkna	2026-05-05 08:30:00	ESS Announces Successful Commissioning of Long-Duration Iron Flow Battery Systems at Turlock Irrigation District Solar-Over-Canal Project	Business Wire	21.0	0.7808	0.0143	0.2049	0.7665	positive	0.015278838808250574	YES
FATE	"[""FATE""]"	nGNX5zJJT	2026-05-05 08:30:00	Fate Therapeutics Selected for U.S. FDA Chemistry, Manufacturing, and Controls Development and Readiness Pilot Program to Support Manufacturing Readiness of FT819	Globe Newswire	110.14	0.74	0.0118	0.2482	0.7282	positive	0.02491506228765572	YES
PFSA	"[""PFSA""]"	nGNE972gWP	2026-05-05 08:30:00	Profusa Initiates Board-Led Process to Evaluate Strategic Alternatives and Maximize Shareholder Value	Globe Newswire	4.22	0.56	0.0112	0.4288	0.5487	positive	0.004250797024442083	YES
MBOT	"[""MBOT""]"	nGNX2TJQlV	2026-05-05 08:30:00	Microbot Medical®’s LIBERTY® Endovascular Robotic System is Now Adopted by Multiple Accounts Across Key Territories Including Two ACCESS-PVI Pivotal Clinical Trial Sites	Globe Newswire	61.02	0.3805	0.0108	0.6087	0.3698	positive	0.14027149321266968	YES
IMNN	"[""IMNN""]"	nGNX9z7lzT	2026-05-05 08:30:00	IMUNON to Hold First Quarter 2026 Financial Results and Business Update Conference Call on Tuesday, May 12, 2026	Globe Newswire	3.81	0.055	0.0334	0.9116	0.0215	neutral	0.003293265272517701	NO:sentiment_score
PALI	"[""PALI""]"	nGNX6BV06s	2026-05-05 08:30:00	Palisade Bio Reports Additional Phase 1a/b Data Demonstrating Colon-Targeted Exposure and Sustained IC90 Coverage Supporting Once-Daily Dosing in Ulcerative Colitis	Globe Newswire	163.1	0.808	0.0192	0.1728	0.7888	positive	0.00128526444315918	YES
MLGO	"[""MLGO""]"	nPn26Xg7da	2026-05-05 08:30:00	MicroAlgo Inc.'s Quantum Blockchain Architecture Using Cyclic QSC and QKD to Enhance Transaction Security and Transparency	PR Newswire	5.81	0.3919	0.0087	0.5994	0.3833	positive		NO:Trades/sec
TRUG	"[""TRUG""]"	nGNXD0W75	2026-05-05 08:30:00	TRUGOLF LINKS REGIONAL DEVELOPER SIGNS LEASE FOR SECOND LOCATION	Globe Newswire	0.8	0.2093	0.0255	0.7652	0.1839	positive		NO:Trades/sec
CRMD	"[""CRMD""]"	nGNXH90TX	2026-05-05 08:30:00	CorMedix Therapeutics to Report First Quarter 2026 Financial Results and Provide a Corporate Update on May 14, 2026	Globe Newswire	70.44	0.0824	0.0389	0.8787	0.0435	neutral		NO:sentiment_score,Trades/sec
DFDV	"[""DFDV""]"	nGNE3WP90r	2026-05-05 08:30:00	DeFi Development Corp. Chief Strategy Officer to Speak at 21st Annual Needham Technology, Media, & Consumer Conference	Globe Newswire	20.89	0.0676	0.0314	0.901	0.0363	neutral		NO:sentiment_score,Trades/sec
OGEN	"[""OGEN""]"	nGNXt3plT	2026-05-05 08:30:00	Oragenics Activates Second Site in Phase IIa Clinical Trial of ONP-002 for Concussion and Mild Traumatic Brain Injury.	Globe Newswire	4.32	0.4792	0.0236	0.4972	0.4556	positive	0.0017113519680547634	YES
MFA	"[""MFA""]"	nBw3WwkxDa	2026-05-05 08:30:00	MFA Financial, Inc. Announces First Quarter 2026 Financial Results	Business Wire	100.02	0.0985	0.181	0.7205	-0.0824	negative		NO:sentiment_score,Trades/sec
CHSN	"[""CHSN""]"	nGNX5v0b41	2026-05-05 08:30:00	Chanson International Holding Announces 100 for 1 Share Consolidation	Globe Newswire	58.87	0.172	0.0489	0.7791	0.1231	positive		NO:Trades/sec
FEAM	"[""FEAM""]"	nACS8b4y8a	2026-05-05 08:30:00	5E Advanced Materials to Host Third Fiscal Quarter 2026 Call 	ACCESSWIRE	20.95	0.1305	0.0185	0.851	0.112	positive		NO:Trades/sec
ATCH	"[""ATCH""]"	nGNX91wK6G	2026-05-05 08:30:00	AtlasClear Holdings to Present at the Emerging Growth Conference on May 7, 2026	Globe Newswire	140.95	0.0794	0.015	0.9055	0.0644	positive		NO:Trades/sec
GSIT	"[""GSIT""]"	nGNX31q6dJ	2026-05-05 08:30:00	GSI Technology to Participate in 16th Annual LD Micro Invitational on May 19, 2026	Globe Newswire	28.62	0.1422	0.0163	0.8415	0.1259	positive		NO:Trades/sec
FWDI	"[""FWDI""]"	nGNXtgRC3	2026-05-05 08:30:01	Forward Industries and RockawayX Co-Lead Strategic Investment in OnRe to Accelerate Onchain Reinsurance on Solana	Globe Newswire	63.62	0.7352	0.0087	0.2561	0.7264	positive		NO:Trades/sec
ACHV	"[""ACHV""]"	nGNX7MLN2C	2026-05-05 08:30:01	Achieve Life Sciences to Announce First Quarter 2026 Financial Results and Host Conference Call and Webcast on May 12, 2026	Globe Newswire	46.59	0.0882	0.019	0.8928	0.0691	positive		NO:Trades/sec
BGIN	"[""BGIN""]"	nGNX25tWJR	2026-05-05 08:30:01	BGIN BLOCKCHAIN LIMITED Reveals PortableBTC at Bitcoin 2026	Globe Newswire	43.35	0.1383	0.0453	0.8164	0.093	positive		NO:Trades/sec
PESI	"[""PESI""]"	nGNX1kSCY6	2026-05-05 08:30:01	Perma-Fix Schedules First Quarter 2026 Business Update Conference Call	Globe Newswire	17.15	0.0496	0.0516	0.8988	-0.0021	neutral		NO:sentiment_score,Trades/sec
SSII	"[""SSII""]"	nGNX84chJ5	2026-05-05 08:30:01	SS Innovations Surpasses 10,500 Surgeries Performed with the SSi Mantra Surgical Robotic System	Globe Newswire	32.59	0.616	0.0155	0.3685	0.6005	positive		NO:Trades/sec
FBLG	"[""FBLG""]"	nGNX3ZmbP5	2026-05-05 08:30:01	FibroBiologics CEO Issues Letter to Shareholders	Globe Newswire	2.93	0.0977	0.049	0.8533	0.0487	neutral		NO:sentiment_score,Trades/sec
LWLG	"[""LWLG""]"	nACSkXkMMa	2026-05-05 08:30:01	Lightwave Logic, Inc. Announces Timing of First Quarter 2026 Financial Results and Business Update Call	ACCESSWIRE	146.49	0.0732	0.0649	0.8619	0.0083	neutral		NO:sentiment_score,Trades/sec
STGW	"[""STGW""]"	nACSfPWXva	2026-05-05 08:30:01	Stagwell (STGW) Announces May Investor Conference Schedule	ACCESSWIRE	109.89	0.073	0.0656	0.8614	0.0074	neutral		NO:sentiment_score,Trades/sec
LFS	"[""LFS""]"	nPn1gNg0Ha	2026-05-05 08:30:03	LEIFRAS Co., Ltd. Awarded Contract to Manage Weekend Club Activities in Shingu Town	PR Newswire	6.594	0.8288	0.0112	0.16	0.8176	positive		NO:Trades/sec
ICCM	"[""ICCM""]"	nPnNGKcHa	2026-05-05 08:30:03	IceCure Showcases ProSense® Cryoablation at American Society of Breast Surgeons 2026 Annual Meeting as Commercial Momentum Accelerates in the U.S. Market	PR Newswire	30.81	0.6232	0.0233	0.3534	0.5999	positive		NO:Trades/sec
KFS	"[""KFS""]"	nACSnNkDsa	2026-05-05 08:30:01	Kingsway Announces Speakers for Its Investor Day on Monday, May 18 at The New York Stock Exchange	ACCESSWIRE	21.02	0.0539	0.0265	0.9196	0.0273	neutral		NO:sentiment_score,Trades/sec
GRML	"[""GRML""]"	nPn3Z8m0za	2026-05-05 08:30:03	Greenland Mines And Its Subsidiary Major Precious Greenland A/S Join the European Raw Materials Alliance	PR Newswire	86.89	0.1297	0.0183	0.852	0.1114	positive		NO:Trades/sec
PAPL	"[""PAPL""]"	nNFC1QJPPy	2026-05-05 08:30:21	Pineapple Financial Announces Initial Impact of AI-Powered Mortgage Agent Recruiting and Onboarding Initiatives	Newsfile Corp	8.28	0.4491	0.0105	0.5404	0.4386	positive		NO:Trades/sec
OESX	"[""OESX""]"	nNFC5yDrhD	2026-05-05 08:30:21	Orion Energy Systems, Inc. to Present at the LD Micro Invitational XVI	Newsfile Corp	3.65	0.0774	0.013	0.9096	0.0644	positive		NO:Trades/sec
GRRR	"[""GRRR""]"	nNFC6rlszJ	2026-05-05 08:30:21	Gorilla Technology Secures 200MW Thailand AI Campus to Power Southeast Asia's Next Wave of AI Compute	Newsfile Corp	24.4	0.5189	0.0173	0.4638	0.5016	positive		NO:Trades/sec
HMR	"[""HMR""]"	nNFC3myYW	2026-05-05 08:30:21	Homerun Resources Inc. Announces Commencement of Trading of Sponsored BDR's on the Brazil B3 Stock Exchange	Newsfile Corp	5.24	0.2433	0.0364	0.7204	0.2069	positive		NO:Trades/sec
OPHC	"[""OPHC""]"	nNFC5rGpdn	2026-05-05 08:30:21	OptimumBank Holdings, Inc. Announces Executive Leadership Transition; Chairman Moishe Gubin Appointed CEO	Newsfile Corp	9.9	0.1013	0.0793	0.8194	0.022	neutral		NO:sentiment_score,Trades/sec
BCHT	"[""BCHT""]"	nGNX6HwV63	2026-05-05 08:31:00	Birchtech Announces Appointment of Respected Finance Executive Michael Mioska as Chief Financial Officer	Globe Newswire	19.72	0.0862	0.0469	0.8669	0.0394	neutral		NO:sentiment_score,Trades/sec
KOPN	"[""KOPN""]"	nBw2VfGxfa	2026-05-05 08:31:00	Kopin Awarded $21.5 Million Follow‑On Production Contract to Deliver U.S.‑Made Thermal Imaging Assemblies for a Major Defense Prime	Business Wire	170.2	0.8045	0.0185	0.177	0.786	positive		NO:Trades/sec
VWAV	"[""VWAV"", ""FRSX""]"	nGNX8xcKjM	2026-05-05 08:42:00	Foresight to Strengthen Intelligence for Defense Autonomous Systems Through Collaboration	Globe Newswire	12.79	0.569	0.0177	0.4133	0.5512	positive	0.0092	YES
FRSX	"[""VWAV"", ""FRSX""]"	nGNX8xcKjM	2026-05-05 08:42:00	Foresight to Strengthen Intelligence for Defense Autonomous Systems Through Collaboration	Globe Newswire	192.7993	0.569	0.0177	0.4133	0.5512	positive	0.00045998160073597056	YES
AZ	"[""AZ""]"	nPn8hQ582a	2026-05-05 08:42:21	A2Z Cust2Mate Strengthens Retail Media Position as Advertisers Tap Smart Carts for In-Store Reach	PR Newswire	32.61	0.9408	0.0136	0.0456	0.9272	positive	0.0003605769230769231	YES
GMEX	"[""GMEX""]"	nGNX2ykZ0x	2026-05-05 08:45:00	GMEX Robotics Receives First Deployment Order for Bon Vivant 3.0 Cooking Robot Machines	Globe Newswire	1.3448	0.8309	0.0095	0.1596	0.8214	positive	0.014452856159669649	YES
CMND	"[""CMND""]"	nGNXc7nprj	2026-05-05 08:50:00	Clearmind Medicine Announces Filing of European Patent Application for Novel Psychedelic Compounds for the Treatment of PTSD	Globe Newswire	1.71	0.5608	0.0611	0.3781	0.4997	positive	0.01199760047990402	YES
RENX	"[""RENX""]"	nGNE7t3VWf	2026-05-05 09:00:01	RenX Enterprises Corp. Secures Initial $13 Million of PIPE Financing; Up to $87 Million in Additional Financing Available	Globe Newswire	2.3	0.7551	0.0119	0.233	0.7433	positive	0.028985507246376812	YES
CYAB	"[""CYAB""]"	nGNE7Yb6Bk	2026-05-05 09:00:01	Cyabra Provides Shareholder Update on Public Company Execution and Growth Priorities	Globe Newswire	5.49	0.0942	0.0162	0.8895	0.078	positive	0.23809523809523808	YES
ATRA	"[""ATRA""]"	nGNX72qwDG	2026-05-05 09:00:01	Portnoy Law Firm Announces Class Action on Behalf of Atara Biotherapeutics, Inc. Investors	Globe Newswire	4.86	0.1125	0.1834	0.7041	-0.0709	negative	0.0006822612085769981	NO:sentiment_score
DRVN	"[""DRVN""]"	nPn2QD0jva	2026-05-05 09:00:01	The Gross Law Firm Reminds Shareholders of a Lead Plaintiff Deadline of May 8, 2026 in Driven Brands Holdings Inc. Lawsuit - DRVN	PR Newswire	58.87	0.1048	0.0832	0.8121	0.0216	neutral	0.001176470588235294	NO:sentiment_score
FEMY	"[""FEMY""]"	nGNX9nhrgD	2026-05-05 09:00:01	Femasys Enables OB/GYNs to Deliver First-Line Fertility Treatment with Initial Commercial Use of FemaSeed® Complete	Globe Newswire	54.9	0.3078	0.0092	0.683	0.2985	positive	0.001004016064257028	YES
CSPI	"[""CSPI""]"	nACS2Wqfda	2026-05-05 09:00:02	CSPi to Announce Fiscal Second Quarter Results on May 7, 2026	ACCESSWIRE	6.95	0.0606	0.0357	0.9037	0.0249	neutral		NO:sentiment_score,Trades/sec
III	"[""III""]"	nBwqfQvga	2026-05-05 09:00:02	Life Sciences Enterprises Accelerate AI Integration	Business Wire	33.28	0.2728	0.0434	0.6838	0.2294	positive		NO:Trades/sec
EFOI	"[""EFOI""]"	nBw18mYtSa	2026-05-05 09:00:02	Energy Focus (EFOI) Anticipates Multi-Fold Revenue Surge in Australia Driven by Strategic Partnerships and Evolving Energy Subsidies	Business Wire	2.92	0.8586	0.0108	0.1306	0.8478	positive		NO:Trades/sec
MNTN	"[""MNTN""]"	nBw5PG8S2a	2026-05-05 09:00:02	MNTN Releases QuickFrame AI 3.0 with a Major Feature Expansion, Delivering TV-Ready Commercials in Minutes	Business Wire	26.56	0.3043	0.0102	0.6854	0.2941	positive		NO:Trades/sec
KWM	"[""KWM""]"	nGNX8F6XNP	2026-05-05 09:00:03	K Wave Aligns with $50 Billion Asset Manager IGIS to Accelerate AI Infrastructure Strategy: Targets Over $2 Billion in Deployment	Globe Newswire	43.72	0.7215	0.0096	0.269	0.7119	positive		NO:Trades/sec
CHOW	"[""CHOW""]"	nGNX4jN3kf	2026-05-05 09:00:04	Portnoy Law Firm Announces Class Action on Behalf of ChowChow Cloud International Holdings, Ltd. Investors	Globe Newswire	10.64	0.1037	0.3078	0.5886	-0.2041	negative		NO:sentiment_score,Trades/sec
NTHI	"[""NTHI""]"	nGNX1SnnJR	2026-05-05 09:00:04	NeOnc CEO Accelerates Insider Buying with $500K+ Investment Ahead of Imminent NEO100 Phase 2a Data Catalysts	Globe Newswire	4.38	0.2512	0.0402	0.7085	0.211	positive		NO:Trades/sec
UPWK	"[""UPWK""]"	nGNXb1HWwb	2026-05-05 09:00:04	Upwork Updates Spring 2026: AI-Powered Innovations to Help Small Businesses Get Ambitious Work Done	Globe Newswire	120.84	0.32	0.0157	0.6643	0.3043	positive		NO:Trades/sec
HTLM	"[""HTLM""]"	nGNX25XSYP	2026-05-05 09:00:04	HomesToLife Announces Appointment of Chief Financial Officer	Globe Newswire	4.67	0.0666	0.1129	0.8205	-0.0462	neutral		NO:sentiment_score,Trades/sec
WYY	"[""WYY""]"	nGNX2n3tRs	2026-05-05 09:00:05	WidePoint to Present at the LD Micro Invitational XVI on Monday, May 18, 2026 at 10:30 a.m. PDT	Globe Newswire	8.17	0.0493	0.0272	0.9235	0.0222	neutral		NO:sentiment_score,Trades/sec
POCI	"[""POCI""]"	nGNX8vvjxK	2026-05-05 09:00:04	Precision Optics Announces Receipt of $3.5 Million Follow-On Production Order for Single-Use Ophthalmic Program	Globe Newswire	7.78	0.6837	0.0177	0.2986	0.6661	positive		NO:Trades/sec
SAIL	"[""SAIL""]"	nGNXbRPCZl	2026-05-05 09:00:05	SailPoint announces return of IdentityTV and Developer Days, shaping the future of identity security	Globe Newswire	59.25	0.1836	0.0206	0.7958	0.163	positive		NO:Trades/sec
LIQT	"[""LIQT""]"	nGNX83rw8l	2026-05-05 09:00:05	LiqTech Secures New Record Order for 10 QlariFlow™ Systems for Australian Commercial Pool Project	Globe Newswire	7.18	0.847	0.0112	0.1418	0.8358	positive		NO:Trades/sec
GEMI	"[""GEMI""]"	nGNX5ZBzSD	2026-05-05 09:00:05	Portnoy Law Firm Announces Class Action on Behalf of Gemini Space Station, Inc. Investors	Globe Newswire	38.2	0.1118	0.2573	0.6309	-0.1456	negative		NO:sentiment_score,Trades/sec
CWH	"[""CWH""]"	nGNXbVZC8R	2026-05-05 09:00:05	Portnoy Law Firm Announces Class Action on Behalf of Camping World Holdings, Inc. Investors	Globe Newswire	58.96	0.1172	0.2726	0.6102	-0.1553	negative	0.003622532149972831	NO:sentiment_score
GO	"[""GO""]"	nGNX2fJl1m	2026-05-05 09:00:05	Portnoy Law Firm Announces Class Action on Behalf of Grocery Outlet Holding Corp. Investors	Globe Newswire	90.72	0.1116	0.2051	0.6833	-0.0935	negative		NO:sentiment_score,Trades/sec
BW	"[""BW""]"	nPn8l5LB5a	2026-05-05 09:00:11	The Gross Law Firm Reminds Shareholders of a Lead Plaintiff Deadline of June 15, 2026 in Babcock & Wilcox Enterprises, Inc. Lawsuit - BW	PR Newswire	130.21	0.1622	0.1114	0.7265	0.0508	positive		NO:Trades/sec
CLSK	"[""CLSK""]"	nPn1PWd5za	2026-05-05 09:00:07	CleanSpark Executives to Discuss Q2 2026 Financial Results Via Webcast	PR Newswire	246.27	0.1276	0.036	0.8363	0.0916	positive		NO:Trades/sec
SES	"[""SES""]"	nPnbrPyFca	2026-05-05 09:00:11	Lost Money on SES AI Corporation (SES)? Join Class Action Suit Seeking Recovery - Contact The Gross Law Firm	PR Newswire	236.25	0.1038	0.17	0.7262	-0.0662	negative		NO:sentiment_score,Trades/sec
CEPT	"[""CEPT""]"	nPn6gRNsqa	2026-05-05 09:00:18	Securitize, Jump Trading Group, and Jupiter Launch Fully Onchain, Regulated Trading for Tokenized Equities	PR Newswire	23.28	0.0756	0.0167	0.9077	0.0588	positive		NO:Trades/sec
UHG	"[""UHG""]"	nPn75hglga	2026-05-05 09:00:22	UHG Shareholder Alert: Investors With Losses May Seek to Lead the Class Action in United Homes Group, Inc. Securities Lawsuit - Contact The Gross Law Firm	PR Newswire	11.21	0.0633	0.0903	0.8464	-0.027	neutral		NO:sentiment_score,Trades/sec
NUAI	"[""NUAI""]"	nPnc29rWJa	2026-05-05 09:00:20	The Gross Law Firm Reminds New Era Energy & Digital, Inc. Investors of the Pending Class Action Lawsuit With a Lead Plaintiff Deadline of June 1, 2026 - NUAI	PR Newswire	73.85	0.1565	0.0869	0.7565	0.0696	positive		NO:Trades/sec
VITL	"[""VITL""]"	nPn9PPQw0a	2026-05-05 09:00:18	VITL UPCOMING DEADLINE: The Gross Law Firm Alerts Vital Farms, Inc. Stockholders of Securities Class Action - Contact the Firm	PR Newswire	36.68	0.0682	0.0539	0.878	0.0143	neutral		NO:sentiment_score,Trades/sec
HLP	"[""HLP""]"	nPn60hXTpa	2026-05-05 09:00:20	Hongli Group Inc. Announces Strategic Plan to Explore Opportunities in Clean Energy and Energy Storage Applications	PR Newswire	47.45	0.3731	0.014	0.6129	0.3592	positive		NO:Trades/sec
GOSS	"[""GOSS""]"	nPnc9HYBWa	2026-05-05 09:00:22	GOSS Shareholder Alert: Investors With Losses May Seek to Lead the Class Action in Gossamer Bio, Inc. Securities Lawsuit - Contact The Gross Law Firm	PR Newswire	204.1	0.1227	0.1431	0.7342	-0.0204	neutral		NO:sentiment_score,Trades/sec
TIGR	"[""TIGR""]"	nNFC28JHw0	2026-05-05 09:00:25	Tiger Gold Intersects 305.55 m @ 0.5 g/t Au at Tesorito, Including 15.7 m @ 1.1 g/t Au and 8 m @ 1.3 g/t Au	Newsfile Corp	171.15	0.2312	0.0927	0.6761	0.1385	positive		NO:Trades/sec
ALDX	"[""ALDX""]"	nPn4b0PH1a	2026-05-05 09:00:27	ALDX UPCOMING DEADLINE : The Gross Law Firm Alerts Aldeyra Therapeutics, Inc. Stockholders of Securities Class Action - Contact the Firm	PR Newswire	55.6	0.0665	0.0889	0.8446	-0.0225	neutral		NO:sentiment_score,Trades/sec
LGCY	"[""LGCY""]"	nPn5JgdhHa	2026-05-05 09:00:33	Legacy Education Inc. Schedules Fiscal Year 2026 Third Quarter Earnings Release and Conference Call	PR Newswire	9.53	0.0483	0.0564	0.8954	-0.0081	neutral		NO:sentiment_score,Trades/sec
VUZI	"[""VUZI""]"	nPnbLjB4Sa	2026-05-05 09:01:00	Vuzix to Showcase Its Latest Advanced AI-driven Smart Glasses and Partner Solutions at SID Display Week 2026	PR Newswire	70.37	0.296	0.0112	0.6928	0.2848	positive		NO:Trades/sec
POET	"[""POET""]"	nGNX7CVzZD	2026-05-05 09:06:00	SHAREHOLDER ALERT Bernstein Liebhard LLP Announces A Securities Fraud Class Action Lawsuit Has Been Filed Against POET Technologies Inc. (POET)	Globe Newswire	90.52	0.1661	0.3375	0.4964	-0.1715	negative	0.12121212121212122	NO:sentiment_score
LEXX	"[""LEXX""]"	nACS1kkvLa	2026-05-05 09:10:00	Lexaria Updates Progress on Human Study #7	ACCESSWIRE	24.06	0.151	0.0457	0.8032	0.1053	positive	0.0004996391495031366	YES
NXXT	"[""NXXT""]"	nGNX3psk8K	2026-05-05 09:15:00	NextNRG Expands Its AI-Driven Dashboard with Energy Analytics, Carbon Tracking, EV Charging Management, and Real-World Site Visualization	Globe Newswire	50.43	0.2067	0.0088	0.7845	0.1979	positive	0.005554086220576567	YES
SPAI	"[""SPAI""]"	nGNX8qyLSm	2026-05-05 09:15:00	SPARC AI to Attend SOF Week 2026 as Commercial Pipeline and Engineering Team Expand	Globe Newswire	12.96	0.1119	0.0147	0.8733	0.0972	positive	0.002332167249708479	YES
ACCS	"[""ACCS""]"	nACSlyzcba	2026-05-05 09:15:00	ACCESS Newswire to Host First Quarter Earnings Conference Call on May 12, 2026	ACCESSWIRE	3.15	0.0449	0.0188	0.9362	0.0261	neutral		NO:sentiment_score,Trades/sec
IPST	"[""IPST""]"	nGNX692xj8	2026-05-05 09:20:43	IP Strategy Publishes Monthly Validator Update 	Globe Newswire	0.53	0.0356	0.0334	0.931	0.0022	neutral	0.0030532131433556268	NO:sentiment_score
FRMI	"[""FRMI""]"	nPn4MBYh6a	2026-05-05 09:24:40	Toby Neugebauer Calls a Special Meeting to Unlock Maximum Value for Fermi Shareholders	PR Newswire	242.59	0.1483	0.0308	0.8209	0.1176	positive	0.15104166666666666	YES
EZRA	"[""EZRA""]"	nGNX3gZtMl	2026-05-05 09:25:00	Reliance Global Group Launches LifeSci Global, Its Dedicated Life Sciences Platform, Partnering with Proven Operators Scott Korman and David Turner to Build and Lead the Platform with Innervate Radiopharmaceuticals as the First Platform Investment	Globe Newswire	7.47	0.5843	0.0101	0.4056	0.5742	positive	0.008288437629506838	YES
SSP	"[""SSP""]"	nGNXvmjLB	2026-05-05 09:30:00	Emmy Award-winning ESPN analyst Mina Kimes to host the 2026 Scripps National Spelling Bee	Globe Newswire	53.32	0.1599	0.0418	0.7983	0.118	positive	0.00026678049301035107	YES
MBIO	"[""MBIO""]"	nGNXcbgpgj	2026-05-05 09:31:01	MindBio Develops Cross-Language AI Speech Analytics Capability for Intoxication Detection Patent applications filed in 15 world firsts using Voice and AI	Globe Newswire	6.44	0.2395	0.0161	0.7444	0.2234	positive	0.0005582087700800099	YES
SKYX	"[""SKYX""]"	nGNX3FNPff	2026-05-05 09:39:00	SKYX Will Deploy its Technologies in its First European Hotel During a Master Renovation of The Grand Hotel du Parc, a Historical Hotel in La Bourboule, France - Part of Group OTT	Globe Newswire	88.45	0.2564	0.0167	0.7269	0.2397	positive	1.6842105263157894	YES
DGNX	"[""DGNX""]"	nACSLg0hLa	2026-05-05 09:40:44	Diginex's $1.5B AI Deal, Structured at a $10.56 Implied Valuation, Brings Immediate Scale and Operating Performance Into Focus	ACCESSWIRE	11.83	0.4928	0.0336	0.4736	0.4592	positive	1.0	YES
FATN	"[""FATN""]"	nACSLypYZa	2026-05-05 10:00:00	Zacks Small-Cap Research Raises FatPipe Inc. (FATN) Share Price from $5.00 to $6.00 Following Business Update	ACCESSWIRE	8.83	0.5606	0.0236	0.4158	0.537	positive	0.3026315789473684	YES
FRMI	"[""FRMI""]"	nPredLc8ga	2026-05-05 10:03:04	Toby Neugebauer Calls a Special Meeting to Unlock Maximum Value for Fermi Shareholders	PR Newswire	242.59	0.1483	0.0308	0.8209	0.1176	positive	6.75	YES
FARM	"[""FARM""]"	nGNX9Fy71t	2026-05-05 10:06:44	Farmer Brothers Announces Successful Closing of Take-private Transaction with Royal Cup	Globe Newswire	18.98	0.3451	0.0655	0.5894	0.2797	positive	0.0004619791185438418	YES
CRML	"[""CRML""]"	nGNX1xtfsd	2026-05-05 10:07:32	Critical Metals Corp. (NASDAQ: CRML) Secures Greenland Government Approval for 70% Acquisition of 60° North ApS, Accelerating Development of World-Class Tanbreez Project	Globe Newswire	60.49	0.8877	0.0146	0.0978	0.8731	positive	2.25	YES
VITL	"[""VITL""]"	nGNX9p0wPK	2026-05-05 10:13:13	VITL Investors Have Opportunity to Lead Vital Farms, Inc. Securities Fraud Lawsuit with the Schall Law Firm	Globe Newswire	36.68	0.2465	0.0233	0.7302	0.2232	positive	4.0	YES
DRVN	"[""DRVN""]"	nACSzBss1a	2026-05-05 10:20:00	DRVN DEADLINE: ROSEN, TRUSTED INVESTOR COUNSEL, Encourages Driven Brands Holdings Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - DRVN	ACCESSWIRE	58.87	0.382	0.0289	0.589	0.3531	positive	1.34375	YES
ALDX	"[""ALDX""]"	nGNX6R57y5	2026-05-05 10:20:20	ALDX Investors Have Opportunity to Lead Aldeyra Therapeutics, Inc. Securities Fraud Lawsuit with the Schall Law Firm	Globe Newswire	55.6	0.2351	0.0515	0.7135	0.1836	positive	0.06578947368421052	YES
BW	"[""BW""]"	nGNX26myp3	2026-05-05 10:24:46	BW Investors Have Opportunity to Lead Babcock & Wilcox Enterprises, Inc. Securities Fraud Lawsuit with the Schall Law Firm	Globe Newswire	130.21	0.2169	0.0491	0.734	0.1678	positive	35.0	YES
GLE	"[""GLE""]"	nPn2zZPMSa	2026-05-05 10:25:22	GLG Advances New Era of Expert Research with Reimagined Client Experience	PR Newswire	1.26	0.249	0.013	0.738	0.236	positive	0.012229016120066704	YES
GOSS	"[""GOSS""]"	nGNXbnDgV1	2026-05-05 10:33:37	GOSS Investors Have Opportunity to Lead Gossamer Bio, Inc. Securities Fraud Lawsuit with the Schall Law Firm	Globe Newswire	204.1	0.2181	0.0378	0.7441	0.1804	positive	0.6774193548387096	YES
