Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)	FinBERTCompletedAt	body_sentiment	BodyCompletedAt	body_duration_ms	neutral_filter	confidence_weighted	net_score	top_k	positional	recommended
DMRC	"[""DMRC""]"	nACS0fDzba	2026-05-05 11:00:05	Digimarc Corporation (DMRC) Investigation: Bronstein, Gewirtz & Grossman, LLC Encourages Shareholders to Contact the Firm to Learn More About the Investigation	ACCESSWIRE	16.8	0.3693	0.0313	0.5994	0.338	positive	0.1326164874551971	YES	NASDAQ	8.37	2.07					0.0	-0.0042	-0.0038	-0.0038	-0.0086	0.0
SPWR	"[""SPWR""]"	nACSZX3Q9a	2026-05-05 11:00:06	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against SunPower, Inc. (SPWR) and Encourages Shareholders to Learn More About the Investigation	ACCESSWIRE	84.0	0.1453	0.052	0.8027	0.0933	positive	0.0966183574879227	YES	NASDAQ	1.11	4.72					-0.3296	-0.4082	-0.1204	0.0326	-0.1482	-0.563
POET	"[""POET""]"	nACS1ktw6a	2026-05-05 11:00:06	Bronstein, Gewirtz & Grossman, LLC Is Investigating POET Technologies Inc. (POET) And Encourages Investors to Connect	ACCESSWIRE	90.52	0.145	0.0765	0.7785	0.0685	positive		NO:Trades/sec	NASDAQ	9.71	33.75					-0.1781	-0.327	-0.0844	0.3494	-0.1763	-0.3994
UHG	"[""UHG""]"	nACSmjgGra	2026-05-05 11:00:06	UHG SHAREHOLDER ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that United Homes Group, Inc. Investors Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	11.21	0.1627	0.1653	0.672	-0.0025	neutral		NO:sentiment_score,Trades/sec	NASDAQ							0.0148	0.0174	0.0191	0.3341	-0.0255	0.0144
METC	"[""METC""]"	nACSZQ0hFa	2026-05-05 11:00:06	Bronstein, Gewirtz & Grossman, LLC Encourages Ramaco Resources, Inc. (METC) Stockholders to Inquire about Securities Investigation 	ACCESSWIRE	47.19	0.3169	0.0432	0.6399	0.2738	positive	0.6060606060606061	YES	NASDAQ	15.34	4.57					-0.0077	-0.0058	-0.0048	-0.007	-0.0083	-0.0077
LAKE	"[""LAKE""]"	nACSd0r3Ka	2026-05-05 11:00:07	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Lakeland Industries, Inc. (LAKE) and Encourages Investors to Learn More About the Investigation	ACCESSWIRE	8.44	0.2058	0.1042	0.69	0.1016	positive		NO:Trades/sec	NASDAQ	9.64	2.66					0.0	-0.0042	-0.0038	-0.0038	-0.0086	0.0
RMAX	"[""RMAX""]"	nACSlNzgQa	2026-05-05 11:00:10	RE/MAX Holdings, Inc. (RMAX) Investigation: Bronstein, Gewirtz & Grossman, LLC Encourages Shareholders to Contact the Firm to Learn More About the Investigation	ACCESSWIRE	15.32	0.1664	0.0383	0.7953	0.1281	positive		NO:Trades/sec	NYSE	10.68	2.2					0.1185	0.0867	0.0487	0.3494	0.0222	0.1356
FSK	"[""FSK""]"	nGNX5dhs5Q	2026-05-05 11:11:28	INVESTOR ALERT: Class Action Lawsuit Filed on Behalf of FS KKR Capital Corp. (FSK) Investors – Holzer & Holzer, LLC Encourages Investors with Losses to Contact the Firm 	Globe Newswire	279.32	0.1393	0.4817	0.3791	-0.3424	negative	0.6363636363636364	NO:sentiment_score	NYSE	11.73	1.38					0.015	0.0114	0.0256	0.064	0.0142	-0.0031
DRVN	"[""DRVN""]"	nNFC67rK0l	2026-05-05 11:16:24	DRVN DEADLINE: ROSEN, SKILLED INVESTOR COUNSEL, Encourages Driven Brands Holdings Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - DRVN	Newsfile Corp	58.87	0.3878	0.0338	0.5784	0.3541	positive	0.5128205128205128	YES	NASDAQ	13.96	2.27					0.1345	0.1508	0.0791	0.539	0.0825	0.1869
TE	"[""TE""]"	nGNE1qQPv2	2026-05-05 11:30:00	REG-Voting results of the 2026 Annual General Meeting of Technip Energies	Globe Newswire	202.05	0.1039	0.0407	0.8554	0.0631	positive	0.4651162790697674	YES	Euronext Paris							0.0	0.0072	0.0072	0.0072	0.0072	0.0
FARM	"[""FARM""]"	nBw3szN4ra	2026-05-05 11:33:00	Royal Cup Completes Acquisition of Farmer Brothers Coffee Co.	Business Wire	18.98	0.1041	0.0231	0.8728	0.081	positive	0.0004619791185438	YES	NASDAQ							0.0	0.0082	0.0082	0.0082	0.0082	0.0
GLOO	"[""GLOO""]"	nBw9rZDYma	2026-05-05 11:58:00	Pastors’ Emotional Resilience Rises as Job Satisfaction Declines, New Research Finds	Business Wire	5.2	0.1752	0.6314	0.1934	-0.4562	negative	0.0202839756592292	NO:sentiment_score	NASDAQ	7.21	5.41					0.555	0.555	0.555	0.555	0.555	0.555
EXPI	"[""EXPI""]"	nGNX7kgQdG	2026-05-05 12:00:00	Sharif Hatab Joins eXp Realty, Merges with Peter Boutros to Launch Unify Real Estate Team in New Jersey	Globe Newswire	92.41	0.0663	0.0294	0.9042	0.0369	neutral	0.3278688524590163	NO:sentiment_score	NASDAQ							0.1531	0.1615	0.1531	0.1531	0.1751	0.1615
NUAI	"[""NUAI""]"	nGNXQSpd1	2026-05-05 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges New Era Energy & Digital, Inc. (f/k/a New Era Helium Inc.) Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	73.85	0.124	0.3222	0.5538	-0.1983	negative	0.8125	NO:sentiment_score	NASDAQ	4.38	5.8					0.0435	0.0449	0.0338	0.2511	0.0	0.0503
BW	"[""BW""]"	nGNX4PHkTW	2026-05-05 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges Babcock & Wilcox Enterprises, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	130.21	0.1202	0.3864	0.4933	-0.2662	negative	0.4878048780487805	NO:sentiment_score	NYSE	15.8	5.33					0.0325	0.0165	0.025	0.332	-0.0254	0.0159
DRVN	"[""DRVN""]"	nGNX4l1KKP	2026-05-05 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges Driven Brands Holdings Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	58.87	0.1578	0.2764	0.5658	-0.1185	negative	0.6	NO:sentiment_score	NASDAQ	13.96	2.27					0.0377	0.0339	0.0316	0.332	-0.0093	0.0355
GO	"[""GO""]"	nNFC3S1fD7	2026-05-05 12:00:19	Bronstein, Gewirtz & Grossman LLC Urges Grocery Outlet Holding Corp. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	90.72	0.1285	0.1922	0.6793	-0.0637	negative	6.666666666666667	NO:sentiment_score	NASDAQ	8.08	0.37					0.0285	0.0195	0.0285	0.2185	-0.0196	0.0173
SES	"[""SES""]"	nNFC5BCXHt	2026-05-05 12:00:19	Bronstein, Gewirtz & Grossman LLC Urges SES AI Corporation Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	236.25	0.1003	0.2767	0.6229	-0.1764	negative	0.2816901408450704	NO:sentiment_score	NYSE	1.04	1.96					-0.0544	-0.1292	-0.0181	0.2458	-0.0874	-0.1598
YOOV	"[""YOOV""]"	nNFC8lCTJH	2026-05-05 12:00:19	Bronstein, Gewirtz & Grossman LLC Urges Concorde International Group, Ltd. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	5.91	0.1477	0.274	0.5783	-0.1263	negative	0.0027925160569673	NO:sentiment_score	NASDAQ	1.53	5.52					0.0425	0.0469	0.0379	0.3341	-0.0071	0.0503
CHOW	"[""CHOW""]"	nNFC2zKTpb	2026-05-05 12:00:20	Bronstein, Gewirtz & Grossman LLC Urges ChowChow Cloud International Holdings Ltd. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	10.64	0.1333	0.3273	0.5394	-0.194	negative	0.0070077084793272	NO:sentiment_score	NYSE American	0.45	7.14					0.0468	0.0661	0.0457	0.3419	0.0164	0.069
FSK	"[""FSK""]"	nBw5BwR5ja	2026-05-05 12:09:00	Law Offices of Frank R. Cruz Encourages FS KKR Capital Corp. (FSK) Shareholders To Inquire About Securities Fraud Class Action	Business Wire	279.32	0.1922	0.09	0.7177	0.1022	positive	0.217391304347826	YES	NYSE	11.73	1.38					-0.3002	-0.3591	-0.2142	0.6459	-0.1973	-0.3821
SES	"[""SES""]"	nGNX21y6Y0	2026-05-05 12:49:07	SES Investors Have Opportunity to Lead SES AI Corporation Securities Fraud Lawsuit with the Schall Law Firm	Globe Newswire	236.25	0.2281	0.0485	0.7234	0.1796	positive	0.6451612903225806	YES	NYSE	1.04	1.96					-0.2804	-0.261	-0.1313	-0.2783	-0.1088	-0.3255
GO	"[""GO""]"	nGNX7KBLVd	2026-05-05 12:57:12	Deadline Alert: Grocery Outlet Holding Corp. (GO) Shareholders Who Lost Money Urged To Contact Glancy Prongay Wolke & Rotter LLP About Securities Fraud Lawsuit	Globe Newswire	90.72	0.1243	0.342	0.5337	-0.2177	negative	1.7894736842105263	NO:sentiment_score	NASDAQ	8.08	0.37					-0.176	-0.1992	-0.0898	0.2378	-0.0847	-0.235
UHG	"[""UHG""]"	nGNXbFrwdg	2026-05-05 13:00:00	Bronstein, Gewirtz & Grossman LLC Urges United Homes Group, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	11.21	0.1505	0.2528	0.5966	-0.1023	negative		NO:sentiment_score,Trades/sec	NASDAQ							0.0277	0.0349	0.0282	0.332	-0.0133	0.0355
SN	"[""SN""]"	nGNE8Pjc7y	2026-05-05 13:00:00	Smith+Nephew drives progress in chronic wound care with ALLEVYN™COMPLETE CARE Dressing and RENASYS™ EDGE tNPWT set to launch at EWMA 2026	Globe Newswire	83.16	0.604	0.0167	0.3793	0.5873	positive	0.7142857142857143	YES	LSE							0.3707	0.5584	0.3707	0.3707	0.6665	0.5584
CWH	"[""CWH""]"	nGNX6ZWlsj	2026-05-05 13:00:34	Lost Money With CWH? Contact Glancy Prongay Wolke & Rotter LLP	Globe Newswire	58.96	0.0842	0.0989	0.8169	-0.0147	neutral	0.6216216216216216	NO:sentiment_score	NYSE	7.54	-1.05					-0.0053	-0.0499	0.0062	0.6943	-0.0109	-0.0577
NUAI	"[""NUAI""]"	nNFC2hP6RN	2026-05-05 13:03:00	ROSEN, A LEADING LAW FIRM, Encourages New Era Energy & Digital, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - NUAI	Newsfile Corp	73.85	0.1881	0.053	0.7589	0.135	positive	1.6666666666666667	YES	NASDAQ	4.38	5.8					0.1505	0.1781	0.0894	0.539	0.0978	0.2184
ALDX	"[""ALDX""]"	nNFC56dX70	2026-05-05 13:06:16	ROSEN, A TOP RANKED LAW FIRM, Encourages Aldeyra Therapeutics, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action First Filed by the Firm - ALDX	Newsfile Corp	55.6	0.5725	0.084	0.3435	0.4884	positive	0.1123595505617977	YES	NASDAQ	1.73	6.13					0.1371	0.1732	0.083	0.539	0.0836	0.2151
ATRA	"[""ATRA""]"	nACSvBvqMa	2026-05-05 13:15:00	ATRA CLASS ACTION REMINDER - Get in Touch With Robbins LLP Today For Information About Your Against Atara Biotherapeutics, Inc. 	ACCESSWIRE	4.86	0.1458	0.0316	0.8226	0.1142	positive	0.0109523809523809	YES	NASDAQ	4.88	0.0					-0.074	-0.1817	-0.0283	0.2129	-0.0352	-0.2406
POET	"[""POET""]"	nGNXH74b4	2026-05-05 13:18:53	ROSEN, THE FIRST FILING FIRM, Encourages POET Technologies Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action First Filed by the Firm – POET 	Globe Newswire	90.52	0.3382	0.0324	0.6294	0.3058	positive	10.5	YES	NASDAQ	9.71	33.75					0.1062	0.1318	0.0717	0.5323	0.0527	0.156
GEG	"[""GEG""]"	nGNX5R9Wn2	2026-05-05 13:23:16	Great Elm Group, Inc. Schedules Fiscal 2026 Third Quarter Conference Call and Webcast	Globe Newswire	22.82	0.0334	0.0511	0.9154	-0.0177	neutral	0.0073113991359255	NO:sentiment_score	NASDAQ	2.12	2.91					0.0765	0.0634	0.0521	0.0914	0.0428	0.0847
VITL	"[""VITL""]"	nACSmCfBra	2026-05-05 13:30:00	Robbins LLP Encourages Vital Farms, Inc. Stockholders With Large Losses to Contact The Firm to Learn How VITL Misled Investors Regarding its Business Prospects 	ACCESSWIRE	36.68	0.2151	0.0605	0.7245	0.1546	positive	0.6666666666666666	YES	NASDAQ	13.06	0.46					-0.2052	-0.3338	-0.0842	0.36	-0.087	-0.4157
DRVN	"[""DRVN""]"	nPn5SvLQDa	2026-05-05 13:43:00	Hagens Berman Updates Driven Brands (DRVN) Investors: New Nasdaq Non-Compliance Notice and Internal Review Delays Amid Securities Class Action	PR Newswire	58.87	0.0571	0.7198	0.2231	-0.6627	negative	0.5641025641025641	NO:sentiment_score	NASDAQ	13.96	2.27					-0.1858	-0.2554	-0.0999	0.3547	-0.1883	-0.3001
FSEA	"[""FSEA""]"	nPn4RM3Gna	2026-05-05 13:45:00	Shareholder Alert: Ademi LLP investigates whether First Seacoast Bancorp Inc. is obtaining a Fair Price for Public Shareholders	PR Newswire	3.35	0.1173	0.0429	0.8397	0.0744	positive	0.0472813238770685	YES	NASDAQ	16.95	44.38					-0.4047	-0.3149	-0.1738	-0.1738	-0.1623	-0.4047
GOSS	"[""GOSS""]"	nPn1gzMrga	2026-05-05 13:50:00	Gossamer Bio, Inc. (GOSS) Faces Securities Class Action Amid 80% Drop On Phase 3 PROSERA Trial Failure- Hagens Berman	PR Newswire	204.1	0.0893	0.7613	0.1494	-0.672	negative	0.288	NO:sentiment_score	NASDAQ	0.36	2.86					0.0961	0.0973	0.0822	0.6842	0.0528	0.1011
WEN	"[""WEN""]"	nPn3QQ7Dya	2026-05-05 13:56:14	Wendy's Invites Fans to Round Up for Adoption in Celebration of National Foster Care Month	PR Newswire	173.32	0.1667	0.0208	0.8125	0.1459	positive	1.818181818181818	YES	NASDAQ	6.67	1.21					0.0	0.0958	0.0958	0.0958	0.0958	0.0
FSK	"[""FSK""]"	nBw8snZMxa	2026-05-05 13:57:00	Rosen Law Firm Urges FS KKR Capital Corp. (NYSE: FSK) Stockholders to Contact the Firm for Information About Their Rights	Business Wire	279.32	0.1164	0.0261	0.8574	0.0903	positive		NO:Trades/sec	NYSE	11.73	1.38					0.0476	0.0566	0.0321	0.2054	0.008	0.0699
POET	"[""POET""]"	nPn9Pj68pa	2026-05-05 14:06:00	POET UPCOMING DEADLINE: Faruqi & Faruqi, LLP Reminds POET Technologies (POET) Investors of Securities Class Action Deadline on June 29, 2026	PR Newswire	90.52	0.1135	0.05	0.8365	0.0636	positive	2.875	YES	NASDAQ	9.71	33.75					-0.2104	-0.3738	-0.1083	0.1482	-0.0943	-0.4383
ALDX	"[""ALDX""]"	nPn4GBtpDa	2026-05-05 14:43:00	ALDX Investors Have Opportunity to Lead Aldeyra Therapeutics, Inc. Securities Fraud Lawsuit Filed by The Rosen Law Firm	PR Newswire	55.6	0.2518	0.0706	0.6776	0.1812	positive	0.1926229508196721	YES	NASDAQ	1.73	6.13					0.1407	0.1746	0.0825	0.539	0.0922	0.2157
ELWT	"[""ELWT""]"	nGNX9DrFz2	2026-05-05 14:44:00	ELWT Investor News: If You Have Suffered Losses in Elauwit Connection, Inc. (NASDAQ: ELWT), You Are Encouraged to Contact The Rosen Law Firm About Your Rights	Globe Newswire	2.24	0.2072	0.0689	0.7239	0.1383	positive	0.0227272727272727	YES	NASDAQ	8.65	20.81					-0.0363	-0.0363	-0.0363	-0.0363	-0.0363	-0.0363
XHG	"[""XHG""]"	nPn5JKWk1a	2026-05-05 14:49:53	Xchange Marks Apprentice Week with Enterprise IT Projects for Peoples Gas and Northern Trust	PR Newswire	46.47	0.2901	0.025	0.6848	0.2651	positive	0.0015845349389954	YES	NASDAQ	1.08	-0.92					0.5924	0.5924	0.5924	0.5924	0.5924	0.5924
SES	"[""SES""]"	nBw353H8Ja	2026-05-05 14:50:00	Deadline Approaching: SES AI Corporation (SES) Shareholders Who Lost Money Urged to Contact Law Offices of Howard G. Smith	Business Wire	236.25	0.0602	0.1554	0.7844	-0.0953	negative	0.3387096774193548	NO:sentiment_score	NYSE	1.04	1.96					-0.2741	-0.3477	-0.1274	0.1772	-0.1215	-0.4301
IMM	"[""IMMP"", ""IMM""]"	nPn8xJMJCa	2026-05-05 14:54:00	Rosen Law Firm Encourages Immutep Ltd. Investors to Inquire About Securities Class Action Investigation - IMMP	PR Newswire		0.105	0.0279	0.8671	0.077	positive		NO:Float,Trades/sec	NASDAQ							0.1177	0.075	0.078	0.539	0.0383	0.0838
IMMP	"[""IMMP"", ""IMM""]"	nPn8xJMJCa	2026-05-05 14:54:00	Rosen Law Firm Encourages Immutep Ltd. Investors to Inquire About Securities Class Action Investigation - IMMP	PR Newswire	146.13	0.105	0.0279	0.8671	0.077	positive	0.1156069364161849	YES	NASDAQ	0.47	2.17					0.1177	0.075	0.078	0.539	0.0383	0.0838
FTLF	"[""FTLF""]"	nGNXbHTWCj	2026-05-05 15:00:00	FitLife Brands Announces First Quarter Earnings Call	Globe Newswire	7.96	0.1415	0.1324	0.7261	0.0091	neutral	0.0136892539356605	NO:sentiment_score	NASDAQ	9.8	1.55					0.0271	0.0271	0.0271	0.0271	0.0271	0.0271
NEWT	"[""NEWT""]"	nGNXc68zXK	2026-05-05 15:02:38	NewtekOne, Inc. Selected for Emerging Company Pavillion at the 2026 Sohn New York Investment Conference	Globe Newswire	24.91	0.314	0.0127	0.6733	0.3013	positive	0.150197628458498	YES	NASDAQ	13.25	3.35					0.4372	0.5232	0.2846	0.7417	0.3942	0.5808
DRVN	"[""DRVN""]"	nBw42JPm2a	2026-05-05 15:16:00	Robbins LLP Reminds DRVN Stockholders of the Pending Class Action Lawsuit; Harmed Investors Should Contact the Firm for Information About the Class Action Against Driven Brands Holdings Inc.	Business Wire	58.87	0.1867	0.0617	0.7516	0.125	positive	0.56	YES	NASDAQ	13.96	2.27					-0.1297	-0.2474	-0.055	0.2139	-0.062	-0.3236
RMAX	"[""RMAX""]"	nACSwDN1da	2026-05-05 15:18:00	$RMAX Stockholder Notification: RE/MAX Holdings, Inc. Shareholders Have Rights in Upcoming Merger - Contact BFA Law	ACCESSWIRE	15.32	0.0559	0.0322	0.9119	0.0237	neutral	0.7857142857142857	NO:sentiment_score	NYSE	10.68	2.2					-0.0981	-0.11	-0.0513	-0.0689	-0.0811	-0.1441
CWH	"[""CWH""]"	nACS9cKGja	2026-05-05 15:18:00	$CWH Class Notification: Camping World Investors Have Rights in Securities Fraud Class Action - Deadline May 11	ACCESSWIRE	58.96	0.0496	0.069	0.8814	-0.0193	neutral	2.4	NO:sentiment_score	NYSE	7.54	-1.05					-0.1144	-0.1894	-0.0554	0.7055	-0.0912	-0.2205
ATRA	"[""ATRA""]"	nPn7gk5gCa	2026-05-05 15:33:00	Atara Biotherapeutics, Inc. (ATRA) Shareholders Who Lost Money Have Opportunity to Lead Securities Fraud Lawsuit	PR Newswire	4.86	0.0576	0.4839	0.4585	-0.4264	negative	0.0087642418930762	NO:sentiment_score	NASDAQ	4.88	0.0					-0.0363	-0.0163	-0.0031	0.1591	-0.0015	-0.0352
GEMI	"[""GEMI""]"	nPnpJrxQa	2026-05-05 15:35:00	Gemini Space Station, Inc. (GEMI) Shareholders Who Lost Money Have Opportunity to Lead Securities Fraud Lawsuit	PR Newswire	38.2	0.0537	0.4348	0.5114	-0.3811	negative	1.36	NO:sentiment_score	NASDAQ	4.97	5.07					-0.0139	0.0248	0.0074	0.1245	0.0069	0.023
CHOW	"[""CHOW""]"	nPn41nMBTa	2026-05-05 15:37:00	ChowChow Cloud International Holdings Limited (CHOW) Shareholders Who Lost Money Have Opportunity to Lead Securities Fraud Lawsuit	PR Newswire	10.64	0.1001	0.3001	0.5998	-0.2	negative	0.0331230283911671	NO:sentiment_score	NYSE American	0.45	7.14					-0.0354	-0.016	-0.0026	0.0765	-0.0097	-0.0377
GTM	"[""GTM""]"	nPn41fzR4a	2026-05-05 15:38:00	Did ZoomInfo Technologies Inc. Insiders Breach their Fiduciary Duties to Shareholders?	PR Newswire	234.75	0.0467	0.4459	0.5074	-0.3992	negative	1.0	NO:sentiment_score	NASDAQ	6.6	1.38					-0.2238	-0.1944	-0.1409	-0.1409	-0.1168	-0.2238
IMM	"[""IMMP"", ""IMM""]"	nGNX9QLYR	2026-05-05 15:41:23	SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Investors It Has Filed a Complaint to Recover Losses Suffered by Purchasers of Immutep Limited American Depositary Receipts and Sets a Lead Plaintiff Deadline of July 6, 2026	Globe Newswire		0.1301	0.1961	0.6738	-0.0659	negative		NO:sentiment_score,Float,Trades/sec	NASDAQ							0.116	0.0809	0.0792	0.6306	0.0368	0.0884
IMMP	"[""IMMP"", ""IMM""]"	nGNX9QLYR	2026-05-05 15:41:23	SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Investors It Has Filed a Complaint to Recover Losses Suffered by Purchasers of Immutep Limited American Depositary Receipts and Sets a Lead Plaintiff Deadline of July 6, 2026	Globe Newswire	146.13	0.1301	0.1961	0.6738	-0.0659	negative	0.0499243570347957	NO:sentiment_score	NASDAQ	0.47	2.17					0.116	0.0809	0.0792	0.6306	0.0368	0.0884
BZAI	"[""BZAI""]"	nBw5rG5gSa	2026-05-05 15:45:00	Rosen Law Firm Encourages Blaize Holdings, Inc. Investors to Inquire About Securities Class Action Investigation – BZAI	Business Wire	83.57	0.1481	0.0846	0.7673	0.0634	positive		NO:Trades/sec	NASDAQ	2.46	5.58					-0.0708	-0.1039	-0.0708	-0.0708	-0.0641	-0.1039
CNVS	"[""CNVS""]"	nPnqKd6ha	2026-05-05 15:45:29	Cineverse Brings Guillermo del Toro's Masterpiece Pan's Labyrinth Back to Cannes Film Festival to Celebrate the 20th Anniversary of the Film's World Premiere	PR Newswire	18.39	0.3532	0.1474	0.4994	0.2059	positive	0.0202839756592292	YES	NASDAQ	2.62	2.75					0.2384	0.2751	0.1646	0.3712	0.313	0.3187
POET	"[""POET""]"	nGNX81yvdb	2026-05-05 15:46:08	POET Class Action Reminder - Robbins LLP Reminds Investors of the Lead Plaintiff Deadline in the POET Technologies Inc. Class Action Lawsuit	Globe Newswire	90.52	0.2852	0.0874	0.6274	0.1978	positive	12.0	YES	NASDAQ	9.71	33.75					-0.0598	-0.1664	-0.0181	0.2033	-0.0516	-0.2228
OFIX	"[""OFIX""]"	nPn20ZqLa	2026-05-05 15:47:00	Halper Sadeh LLC Encourages Orthofix Medical Inc. Shareholders to Contact the Firm to Discuss Their Rights	PR Newswire	38.93	0.1726	0.0156	0.8118	0.157	positive	0.42	YES	NASDAQ	12.54	4.41					-0.2238	-0.1903	-0.0979	-0.0979	-0.0792	-0.2238
NFE	"[""NFE""]"	nPn1sWhw3a	2026-05-05 15:48:00	Did New Fortress Energy Inc. Insiders Breach their Fiduciary Duties to Shareholders?	PR Newswire	190.21	0.0496	0.406	0.5444	-0.3563	negative	0.5555555555555556	NO:sentiment_score	NASDAQ	0.86	6.17					-0.2238	-0.1944	-0.1409	-0.1409	-0.1168	-0.2238
EPOW	"[""EPOW""]"	nGNX3hVp09	2026-05-05 15:50:00	E-Power Onboards Expert Engineers with Background in NVIDIA AI Solutions to Drive U.S. AIDC Growth	Globe Newswire	25.58	0.1621	0.0139	0.824	0.1482	positive	0.0489510489510489	YES	NASDAQ	1.0	28.21					0.2959	0.4094	0.2335	0.2959	0.5019	0.4441
INMB	"[""INMB""]"	nGNXcbcVtX	2026-05-05 16:00:00	INmune Bio and Anthony Nolan Announce Strategic Expansion of CORDStrom™ MSC Platform Collaboration to Target RDEB, Oncology, and Inflammatory Diseases	Globe Newswire	22.06	0.5299	0.0123	0.4578	0.5177	positive	3.7777777777777777	YES	NASDAQ	1.59	7.43					0.4189	0.4844	0.3422	0.6586	0.4548	0.5121
ABOS	"[""ABOS""]"	nGNXb8YBt5	2026-05-05 16:00:00	Acumen Pharmaceuticals to Report First Quarter Financial Results on May 12, 2026	Globe Newswire	54.38	0.0703	0.0375	0.8922	0.0328	neutral	6.5	NO:sentiment_score	NASDAQ	2.55	4.08					0.3155	0.3853	0.3155	0.3155	0.2496	0.3853
SES	"[""SES""]"	nBw81fk27a	2026-05-05 16:00:00	SES Shareholder Alert: Investors With Losses May Seek to Lead the Class Action in SES AI Corporation Securities Lawsuit - Contact Levi & Korsinsky	Business Wire	236.25	0.1074	0.1551	0.7375	-0.0477	neutral	7.25	NO:sentiment_score	NYSE	1.04	1.96					0.0091	-0.0078	0.0123	0.7871	0.1012	-0.0117
CXDO	"[""CXDO""]"	nACSBC9pGa	2026-05-05 16:00:00	Crexendo Announces First Quarter 2026 Results	ACCESSWIRE	17.42	0.0411	0.0284	0.9305	0.0127	neutral	6.666666666666667	NO:sentiment_score	NASDAQ	9.63	14.64					0.5552	0.5141	0.1912	0.731	0.0394	0.6738
NUAI	"[""NUAI""]"	nBw5FNrFLa	2026-05-05 16:00:00	NUAI Investor Alert: New Era Energy & Digital Securities Fraud Lawsuit - Investors With Losses May Seek to Lead the Class Action After CEO Allegedly Certified False Statements: Levi & Korsinsky	Business Wire	73.85	0.0862	0.2319	0.6819	-0.1457	negative		NO:sentiment_score,Trades/sec	NASDAQ	4.38	5.8					-0.0808	-0.1642	-0.0306	0.1452	-0.0598	-0.2202
HYPD	"[""HYPD""]"	nGNX9b62y7	2026-05-05 16:01:00	Hyperion DeFi Announces Proposed Public Offering of Common Stock and Pre-Funded Warrants	Globe Newswire	6.89	0.1103	0.0139	0.8757	0.0964	positive	1.5625	YES	NASDAQ	4.78	7.42					0.0	0.1026	0.1026	0.1026	0.1026	0.0
SAMG	"[""SAMG""]"	nGNX569ngL	2026-05-05 16:01:00	Silvercrest Asset Management (SAMG) to Announce First Quarter 2026 Results and Host Investor Conference Call	Globe Newswire	7.3	0.0895	0.0144	0.8962	0.0751	positive	0.5454545454545454	YES	NASDAQ	13.5	2.74					0.0743	0.0743	0.0743	0.0743	0.0743	0.0743
MTW	"[""MTW""]"	nBw2H5pN2a	2026-05-05 16:01:00	The Manitowoc Company Reports First-Quarter 2026 Financial Results; Maintains Full Year 2026 Guidance	Business Wire	33.08	0.3632	0.0526	0.5842	0.3106	positive	1.5384615384615383	YES	NYSE	13.95	2.35					-0.8239	-0.8239	-0.8239	-0.8239	-0.8239	-0.8239
CARL	"[""CARL""]"	nGNX3tHzss	2026-05-05 16:01:00	Carlsmed® Reports First Quarter 2026 Financial Results 	Globe Newswire	8.8	0.1532	0.1083	0.7385	0.0449	neutral	1.156862745098039	NO:sentiment_score	NASDAQ	9.68	6.49					0.1796	0.2534	0.105	0.443	0.3448	0.3122
AVTX	"[""AVTX""]"	nGNX3Ct05Y	2026-05-05 16:01:00	Avalo Therapeutics Achieves Positive Topline Results in Phase 2 LOTUS Trial of Abdakibart (AVTX-009) in Moderate to Severe Hidradenitis Suppurativa	Globe Newswire	22.76	0.9297	0.0238	0.0465	0.9059	positive	15.0	YES	NASDAQ	27.8	97.86					0.4831	0.6495	0.4831	0.5821	0.7449	0.6495
ATOM	"[""ATOM""]"	nACSx4f9Za	2026-05-05 16:01:00	Atomera Provides First Quarter 2026 Results	ACCESSWIRE	36.64	0.0514	0.0236	0.925	0.0278	neutral	0.3278688524590163	NO:sentiment_score	NASDAQ	11.48	11.13					0.2858	0.3516	0.1395	0.5281	0.1961	0.4754
